source_index,thread_id,reply_number,reviewer,date,comment_text,highlighted_text,context,char_position,raw_workbook_rows,source_cell,legacy_topic_ids,concern,required_action,paper_section,status
1,6a33db3e6572004fe08a8096,0,jason.blocklove,"18 June, 4:49 am",Natural language words and tokens are not equivalent,cache)~\cite{b6}.,"\section{Introduction}
Autoregressive decoding in large language models (LLMs) introduces measurable latency at inference time because each generated token depends on previously generated tokens and their associated model state. To understand the reason for this delay, we first identify the Transformer-based framework used in many modern LLMs. Popular systems such as ChatGPT and Claude are based on the Transformer architecture~\cite{b2}, a software-based mathematical framework that represents input text as tokens rather than necessarily as whole natural-language words. These tokens may correspond to words, subwords, punctuation, or other tokenizer-defined units. Transformers process token sequences using a ``self-attention'' mechanism that determines how strongly each token relates to other tokens in the sequence, allowing the model to form context. During autoregressive decoding, when a new token is generated, the model attends to previously generated tokens. To reduce repeated computation, historical token information is stored as key and value tensors in external memory, commonly called the key-value cache (KV cache)~\cite{b6}.",5035,2,Comments!E2,Legacy-01,"Natural language words and tokens are not equivalent [highlighted: ""cache)~\cite{b6}.""]",Define tokenizer units accurately and verify final wording.,Introduction,NOT_RUN
2,6a33ddd5dc32bf2129204dad,0,jason.blocklove,"18 June, 5:00 am",Define,MAC,"These two are defined with an algorithm complexity with respect to sequence length, $N$, as $\mathcal{O}(N)$ for a full-attention layer and $\mathcal{O}(1)$ for a linear-attention layer for one token~\cite{b3}. That means the number of MAC operations for large scale token history would be lower due to it being a constant when compared to the growing operation count of the full attention layer. It should be noted that the total algorithm complexity on an entire execution sequence has the full attention layer scale quadratically as $\mathcal{O}(N^2)$ and the linear attention layer scale to $\mathcal{O}(N)$. To keep accuracy while being efficient, the present industry’s choice to use the previously mentioned 3:1 structure doesn’t eliminate the nature of the growing complexity, but rather reduces the growth of complexity as compared to a scenario of pure full attention layers~\cite{b9}.",6116,4,Comments!E4,Legacy-02,"Define [highlighted: ""MAC""]",Expand multiply-accumulate at first use.,Introduction,NOT_RUN
3,6a33f47fdc32bf2129205845,0,jason.blocklove,"18 June, 6:37 am","The majority of this has a level of detail that's more appropriate for the related works section, rather than the introduction. The introduction should very simply provide context and motivation for the problem, and maybe touch upon how you intend to resolve it. Getting too deep into actual numbers or efficiency metrics fits better in the related works or motivation/problem formulation sections","This linear-time sequence model compresses the history of data down into a single fixed grid known as a recurrent state matrix~$S$~\cite{b3}. The tradeoff with the linear-attention layer is that historical token details are heavily compressed. However, by combining both approaches and stacking them, researchers have made the token go through linear layers first then into a full-attention layer, known as the 3:1 structure block, to more efficiently process previous history while maintaining data integrity~\cite{b9}.

These two are defined with an algorithm complexity with respect to sequence length, $N$, as $\mathcal{O}(N)$ for a full-attention layer and $\mathcal{O}(1)$ for a linear-attention layer for one token~\cite{b3}. That means the number of MAC operations for large scale token history would be lower due to it being a constant when compared to the growing operation count of the full attention layer. It should be noted that the total algorithm complexity on an entire execution sequence has the full attention layer scale quadratically as $\mathcal{O}(N^2)$ and the linear attention layer scale to $\mathcal{O}(N)$. To keep accuracy while being efficient, the present industry’s choice to use the previously mentioned 3:1 structure doesn’t eliminate the nature of the growing complexity, but rather reduces the growth of complexity as compared to a scenario of pure full attention layers~\cite{b9}.

This specific replacement technique targeting the growing KV caches of each internal macro block of a whole layer structure does make the memory usage a lot more efficient than without~\cite{b10}. However, traditional implementations utilizing high-precision data formats such as FP32 will quickly saturate the limited memory on these kinds of FPGAs~\cite{b10}. When these state matrices start to exceed the local capacity, the hardware must go on to use external bandwidth memory. To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}. This can be done by treating the URAM and BRAM as the permanent execution area for those compressed $S$ matrices and reserving the high bandwidth memory (HBM) for the growing KV caches of the full attention layers.

By maximizing the efficiency of the data format itself, we can make a better case for the limited on-chip storage available. Numerical states can be packed into extremely compact 4-bit OCP microscaling formats through the specific utilization of 4-bit E2M1 elements that are bounded by a shared 8-bit E8M0 block scale~\cite{b12}. The processing elements will be able to perform continuous linear attention updates without having to request a time-consuming demand to the external memory bus. By focusing on one piece of a hybrid attention model, we can improve the performance and efficiency of the entire implementation that is being used. In a hybrid model like the previously mentioned 3:1 structure, we can look at the primary building block that makes up 75\% of the core pipeline and focus entirely on improving what makes up the bulk of the model which would naturally optimize the entire system as a whole~\cite{b9}.","Naturally, when the LLM has to process long histories of token data, then the KV cache would also be bigger, slowing down the processing time of the model~\cite{b7}. This issue has thus driven the development of another mathematical alternative called ``linear attention,'' like the Gated DeltaNet (GDN) model~\cite{b3}. This linear-time sequence model compresses the history of data down into a single fixed grid known as a recurrent state matrix~$S$~\cite{b3}. The tradeoff with the linear-attention layer is that historical token details are heavily compressed. However, by combining both approaches and stacking them, researchers have made the token go through linear layers first then into a full-attention layer, known as the 3:1 structure block, to more efficiently process previous history while maintaining data integrity~\cite{b9}.",5358,5,Comments!E5,Legacy-03,"The majority of this has a level of detail that's more appropriate for the related works section, rather than the introduction. The introduction should very simply provide context and motivation for the problem, and maybe touch upon how you intend to resolve it. Getting too deep into actual numbers or efficiency metrics fits better in the related works or motivation/problem formulation sections [highlighted: ""This linear-time sequence model compresses the history of data down into a single fixed grid known as a recurrent state matrix~$S$~\cite{b3}. The tradeoff with the linear-attention layer is that historical token details are heavily compressed. However, by combining both approaches and stacking them, researchers have made the token go through linear layers first then into a full-attention layer, known as the 3:1 structure block, to more efficiently process previous history while maintaining data integrity~\cite{b9}.

These two are defined with an algorithm complexity with respect to sequence length, $N$, as $\mathcal{O}(N)$ for a full-attention layer and $\mathcal{O}(1)$ for a linear-attention layer for one token~\cite{b3}. That means the number of MAC operations for large scale token history would be lower due to it being a constant when compared to the growing operation count of the full attention layer. It should be noted that the total algorithm complexity on an entire execution sequence has the full attention layer scale quadratically as $\mathcal{O}(N^2)$ and the linear attention layer scale to $\mathcal{O}(N)$. To keep accuracy while being efficient, the present industry’s choice to use the previously mentioned 3:1 structure doesn’t eliminate the nature of the growing complexity, but rather reduces the growth of complexity as compared to a scenario of pure full attention layers~\cite{b9}.

This specific replacement technique targeting the growing KV caches of each internal macro block of a whole layer structure does make the memory usage a lot more efficient than without~\cite{b10}. However, traditional implementations utilizing high-precision data formats such as FP32 will quickly saturate the limited memory on these kinds of FPGAs~\cite{b10}. When these state matrices start to exceed the local capacity, the hardware must go on to use external bandwidth memory. To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}. This can be done by treating the URAM and BRAM as the permanent execution area for those compressed $S$ matrices and reserving the high bandwidth memory (HBM) for the growing KV caches of the full attention layers.

By maximizing the efficiency of the data format itself, we can make a better case for the limited on-chip storage available. Numerical states can be packed into extremely compact 4-bit OCP microscaling formats through the specific utilization of 4-bit E2M1 elements that are bounded by a shared 8-bit E8M0 block scale~\cite{b12}. The processing elements will be able to perform continuous linear attention updates without having to request a time-consuming demand to the external memory bus. By focusing on one piece of a hybrid attention model, we can improve the performance and efficiency of the entire implementation that is being used. In a hybrid model like the previously mentioned 3:1 structure, we can look at the primary building block that makes up 75\% of the core pipeline and focus entirely on improving what makes up the bulk of the model which would naturally optimize the entire system as a whole~\cite{b9}.""]","Retain problem, motivation, and contribution; move technical background.",Introduction,NOT_RUN
4,6a33f4b76572004fe08a8bc5,0,jason.blocklove,"18 June, 6:37 am",What is the broader implication of these metrics?,It should be noted that the total algorithm complexity on an entire execution sequence has the full attention layer scale quadratically as $\mathcal{O}(N^2)$ and the linear attention layer scale to $\mathcal{O}(N)$.,"These two are defined with an algorithm complexity with respect to sequence length, $N$, as $\mathcal{O}(N)$ for a full-attention layer and $\mathcal{O}(1)$ for a linear-attention layer for one token~\cite{b3}. That means the number of MAC operations for large scale token history would be lower due to it being a constant when compared to the growing operation count of the full attention layer. It should be noted that the total algorithm complexity on an entire execution sequence has the full attention layer scale quadratically as $\mathcal{O}(N^2)$ and the linear attention layer scale to $\mathcal{O}(N)$. To keep accuracy while being efficient, the present industry’s choice to use the previously mentioned 3:1 structure doesn’t eliminate the nature of the growing complexity, but rather reduces the growth of complexity as compared to a scenario of pure full attention layers~\cite{b9}.",6277,6,Comments!E6,Legacy-04,"What is the broader implication of these metrics? [highlighted: ""It should be noted that the total algorithm complexity on an entire execution sequence has the full attention layer scale quadratically as $\mathcal{O}(N^2)$ and the linear attention layer scale to $\mathcal{O}(N)$.""]",Explain context-length effect without overstating whole-model behavior.,Introduction,NOT_RUN
5,6a33f510537013d3d71a2f20,0,jason.blocklove,"18 June, 6:39 am","How much is ""a lot""? Can you cite an actual data point from that paper?",a lot,"This specific replacement technique targeting the growing KV caches of each internal macro block of a whole layer structure does make the memory usage a lot more efficient than without~\cite{b10}. However, traditional implementations utilizing high-precision data formats such as FP32 will quickly saturate the limited memory on these kinds of FPGAs~\cite{b10}. When these state matrices start to exceed the local capacity, the hardware must go on to use external bandwidth memory. To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}. This can be done by treating the URAM and BRAM as the permanent execution area for those compressed $S$ matrices and reserving the high bandwidth memory (HBM) for the growing KV caches of the full attention layers.",6928,7,Comments!E7,Legacy-05,"How much is ""a lot""? Can you cite an actual data point from that paper? [highlighted: ""a lot""]",Replace with a scoped prior-work statement.,Introduction,NOT_RUN
6,6a33f59d87496cf05d0b1b90,0,jason.blocklove,"18 June, 6:41 am","This is your main contribution and it's kind of hidden in the middle of this paragraph. What you're doing should jump out a lot more than this. Also, it's a bit weird to cite a paper in the same sentence you're saying ""this is what we did"". Addressing what that paper did and what you've done should be fully separate thoughts","To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}.","This specific replacement technique targeting the growing KV caches of each internal macro block of a whole layer structure does make the memory usage a lot more efficient than without~\cite{b10}. However, traditional implementations utilizing high-precision data formats such as FP32 will quickly saturate the limited memory on these kinds of FPGAs~\cite{b10}. When these state matrices start to exceed the local capacity, the hardware must go on to use external bandwidth memory. To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}. This can be done by treating the URAM and BRAM as the permanent execution area for those compressed $S$ matrices and reserving the high bandwidth memory (HBM) for the growing KV caches of the full attention layers.",7259,8;73,Comments!E8,Legacy-06;Legacy-07,"This is your main contribution and it's kind of hidden in the middle of this paragraph. What you're doing should jump out a lot more than this. Also, it's a bit weird to cite a paper in the same sentence you're saying ""this is what we did"". Addressing what that paper did and what you've done should be fully separate thoughts [highlighted: ""To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}.""]",State the narrow arithmetic/stability question at the recurrence-core boundary.; Separate prior-work motivation from current implementation.,Introduction,NOT_RUN
7,6a33faa0dc32bf2129205b87,0,jason.blocklove,"18 June, 7:03 am","It can be done, or it's what you did? Too much passive-voice is being used",can be done,"This specific replacement technique targeting the growing KV caches of each internal macro block of a whole layer structure does make the memory usage a lot more efficient than without~\cite{b10}. However, traditional implementations utilizing high-precision data formats such as FP32 will quickly saturate the limited memory on these kinds of FPGAs~\cite{b10}. When these state matrices start to exceed the local capacity, the hardware must go on to use external bandwidth memory. To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}. This can be done by treating the URAM and BRAM as the permanent execution area for those compressed $S$ matrices and reserving the high bandwidth memory (HBM) for the growing KV caches of the full attention layers.",7506,9,Comments!E9,Legacy-08,"It can be done, or it's what you did? Too much passive-voice is being used [highlighted: ""can be done""]","Use an active, evidence-supported design statement.",Introduction,NOT_RUN
8,6a33fb05537013d3d71a3253,0,jason.blocklove,"18 June, 7:04 am",Awkward wording,we can make a better case for the limited on-chip storage available,"By maximizing the efficiency of the data format itself, we can make a better case for the limited on-chip storage available. Numerical states can be packed into extremely compact 4-bit OCP microscaling formats through the specific utilization of 4-bit E2M1 elements that are bounded by a shared 8-bit E8M0 block scale~\cite{b12}. The processing elements will be able to perform continuous linear attention updates without having to request a time-consuming demand to the external memory bus. By focusing on one piece of a hybrid attention model, we can improve the performance and efficiency of the entire implementation that is being used. In a hybrid model like the previously mentioned 3:1 structure, we can look at the primary building block that makes up 75\% of the core pipeline and focus entirely on improving what makes up the bulk of the model which would naturally optimize the entire system as a whole~\cite{b9}.",7773,10,Comments!E10,Legacy-09,"Awkward wording [highlighted: ""we can make a better case for the limited on-chip storage available""]",State the concrete storage consequence.,Introduction,NOT_RUN
9,6a33fb116572004fe08a8f14,0,jason.blocklove,"18 June, 7:05 am",Define,OCP,"By maximizing the efficiency of the data format itself, we can make a better case for the limited on-chip storage available. Numerical states can be packed into extremely compact 4-bit OCP microscaling formats through the specific utilization of 4-bit E2M1 elements that are bounded by a shared 8-bit E8M0 block scale~\cite{b12}. The processing elements will be able to perform continuous linear attention updates without having to request a time-consuming demand to the external memory bus. By focusing on one piece of a hybrid attention model, we can improve the performance and efficiency of the entire implementation that is being used. In a hybrid model like the previously mentioned 3:1 structure, we can look at the primary building block that makes up 75\% of the core pipeline and focus entirely on improving what makes up the bulk of the model which would naturally optimize the entire system as a whole~\cite{b9}.",7902,11,Comments!E11,Legacy-10,"Define [highlighted: ""OCP""]",Expand Open Compute Project at first use.,Background,NOT_RUN
10,6a33fb1a34ed05fee4df6674,0,jason.blocklove,"18 June, 7:05 am",Define or explain,E2M1,"By maximizing the efficiency of the data format itself, we can make a better case for the limited on-chip storage available. Numerical states can be packed into extremely compact 4-bit OCP microscaling formats through the specific utilization of 4-bit E2M1 elements that are bounded by a shared 8-bit E8M0 block scale~\cite{b12}. The processing elements will be able to perform continuous linear attention updates without having to request a time-consuming demand to the external memory bus. By focusing on one piece of a hybrid attention model, we can improve the performance and efficiency of the entire implementation that is being used. In a hybrid model like the previously mentioned 3:1 structure, we can look at the primary building block that makes up 75\% of the core pipeline and focus entirely on improving what makes up the bulk of the model which would naturally optimize the entire system as a whole~\cite{b9}.",7969,12,Comments!E12,Legacy-12,"Define or explain [highlighted: ""E2M1""]","Define sign, exponent, mantissa, finite values, and exceptional behavior.",Numerical Method,NOT_RUN
