citation_key,title,primary_url,record_class,publication_status,selected_form,source_checked_on,status
gateddeltanet,"Gated Delta Networks: Improving Mamba2 with Delta Rule",https://openreview.net/forum?id=r8H7xhYPwz,archival_paper,"ICLR 2025 conference paper","ICLR 2025 plus OpenReview URL",2026-08-06,PASS
gupta2026,"A Persistent-State Dataflow Accelerator for Memory-Bound Linear Attention Decode on FPGA",https://arxiv.org/abs/2603.05931,preprint,"arXiv:2603.05931v1; no archival venue metadata on the primary record as of 2026-08-06","arXiv v1 with arXiv DOI and explicit preprint label",2026-08-06,PASS
ocpmx,"OCP Microscaling Formats (MX) Specification",https://www.opencompute.org/documents/ocp-microscaling-formats-mx-v1-0-spec-final-pdf,standard,"Open Compute Project specification v1.0; September 2023","OCP specification and version",2026-08-06,PASS
qwen3nextmodel,"Qwen3-Next-80B-A3B-Instruct",https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Instruct/tree/9c7f2fbe84465e40164a94cc16cd30b6999b0cc7,pinned_artifact,"Official Qwen model repository; pinned revision 9c7f2fbe84465e40164a94cc16cd30b6999b0cc7","Revision-specific official model repository",2026-08-06,PASS
transformersqwen,"Qwen3-Next implementation in Transformers",https://github.com/huggingface/transformers/blob/8ac2b916b042b1f78b75c9eb941c0f5d2cdd8e10/src/transformers/models/qwen3_next/modeling_qwen3_next.py,pinned_artifact,"Official Transformers v4.57.0 source; pinned commit 8ac2b916b042b1f78b75c9eb941c0f5d2cdd8e10","Revision-specific official source",2026-08-06,PASS
fla021,"Gated delta rule implementation in flash-linear-attention",https://github.com/fla-org/flash-linear-attention/tree/a670dff4c2537fc1a82486584dd9569e18fba833/fla/ops/gated_delta_rule,pinned_artifact,"Official flash-linear-attention v0.2.1 source; pinned commit a670dff4c2537fc1a82486584dd9569e18fba833","Revision-specific official source",2026-08-06,PASS
deltanet,"Parallelizing Linear Transformers with the Delta Rule over Sequence Length",https://doi.org/10.52202/079017-3668,archival_paper,"NeurIPS 2024; volume 37","NeurIPS 2024 with DOI",2026-08-06,PASS
qllama,"QLlama: An FPGA-Based Microscaling Quantization Accelerator for Energy-Efficient Llama2 Inference",https://doi.org/10.1109/LES.2025.3600563,archival_paper,"IEEE Embedded Systems Letters 17(5):337-340; 2025","IEEE journal record with DOI",2026-08-06,PASS
jackscales,"Jack of All Scales: A Versatile FPGA Tensor Block for MXFP Precisions",https://arxiv.org/abs/2607.13898,preprint,"arXiv:2607.13898v1; no archival venue metadata on the primary record as of 2026-08-06","arXiv v1 with arXiv DOI and explicit preprint label",2026-08-06,PASS
mxformer,"MXFormer: A Microscaling Floating-Point Charge-Trap Transistor Compute-in-Memory Transformer Accelerator",https://arxiv.org/abs/2602.12480,preprint,"arXiv:2602.12480v1; no archival venue metadata on the primary record as of 2026-08-06","arXiv v1 with arXiv DOI and explicit preprint label",2026-08-06,PASS
micromix,"MicroMix: Efficient Mixed-Precision Quantization with Microscaling Formats for Large Language Models",https://openreview.net/forum?id=P5OKoZdwlB,archival_paper,"ICLR 2026 conference paper","ICLR 2026 plus OpenReview URL",2026-08-06,PASS
mxattention,"MXAttention: Data-Free Optimal Scaling and Pre-Normalization Quantization for MXFP4 Attention",https://arxiv.org/abs/2607.24377,preprint,"arXiv:2607.24377v1; no archival venue metadata on the primary record as of 2026-08-06","arXiv v1 with arXiv DOI and explicit preprint label",2026-08-06,PASS
mxfpbenchmark,"Benchmarking Post-Training Quantization of Large Language Models under Microscaling Floating Point Formats",https://aclanthology.org/2026.acl-long.1854/,archival_paper,"ACL 2026 long paper; pages 39907-39923; DOI 10.18653/v1/2026.acl-long.1854","ACL Anthology archival record",2026-08-06,PASS
quantgdn,"When Good Enough Is Optimal: Multiplication-Only Matrix Inversion Approximation for Quantized Gated DeltaNet",https://openreview.net/pdf?id=RzLGgyuv0C,archival_paper,"ICML 2026; Proceedings of Machine Learning Research volume 306","ICML 2026 camera-ready archival form",2026-08-06,PASS
kivi,"KIVI: A Tuning-Free Asymmetric 2bit Quantization for KV Cache",https://proceedings.mlr.press/v235/liu24bz.html,archival_paper,"ICML 2024; PMLR 235:32332-32344","PMLR archival record",2026-08-06,PASS
ssdi8,"SSDi8: Accurate and Efficient 8-bit Quantization for State Space Duality",https://openreview.net/forum?id=pjMDZJd4rT,archival_paper,"ICLR 2026 conference paper","ICLR 2026 plus OpenReview URL",2026-08-06,PASS
