citation_key,title,primary_url,publication_status,selected_form,status
gateddeltanet,"Gated Delta Networks: Improving Mamba2 with Delta Rule",https://openreview.net/forum?id=r8H7xhYPwz,"ICLR 2025 conference paper","ICLR 2025 plus OpenReview URL",PASS
gupta2026,"A Persistent-State Dataflow Accelerator for Memory-Bound Linear Attention Decode on FPGA",https://arxiv.org/abs/2603.05931,"arXiv:2603.05931v1; no archival venue located","arXiv v1 with arXiv DOI and preprint label",PASS
ocpmx,"OCP Microscaling Formats (MX) Specification",https://www.opencompute.org/documents/ocp-microscaling-formats-mx-v1-0-spec-final-pdf,"Open Compute Project specification v1.0; September 2023","OCP specification and version",PASS
qwen3nextmodel,"Qwen3-Next-80B-A3B-Instruct",https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Instruct,"Official Qwen model repository; pinned revision 9c7f2fbe84465e40164a94cc16cd30b6999b0cc7","Official model repository and pinned revision",PASS
deltanet,"Parallelizing Linear Transformers with the Delta Rule over Sequence Length",https://doi.org/10.52202/079017-3668,"NeurIPS 2024; volume 37","NeurIPS 2024 with DOI",PASS
qllama,"QLlama: An FPGA-Based Microscaling Quantization Accelerator for Energy-Efficient Llama2 Inference",https://doi.org/10.1109/LES.2025.3600563,"IEEE Embedded Systems Letters 17(5):337-340; 2025","IEEE journal record with DOI",PASS
jackscales,"Jack of All Scales: A Versatile FPGA Tensor Block for MXFP Precisions",https://arxiv.org/abs/2607.13898,"arXiv:2607.13898v1; no archival venue located","arXiv v1 with arXiv DOI and preprint label",PASS
quantgdn,"When Good Enough Is Optimal: Multiplication-Only Matrix Inversion Approximation for Quantized Gated DeltaNet",https://arxiv.org/abs/2606.06034,"arXiv:2606.06034v1; no archival venue located","arXiv v1 with arXiv DOI and preprint label",PASS
kivi,"KIVI: A Tuning-Free Asymmetric 2bit Quantization for KV Cache",https://proceedings.mlr.press/v235/liu24bz.html,"ICML 2024; PMLR 235:32332-32344","PMLR archival record",PASS
ssdi8,"SSDi8: Accurate and Efficient 8-bit Quantization for State Space Duality",https://openreview.net/forum?id=pjMDZJd4rT,"ICLR 2026 conference paper","ICLR 2026 plus OpenReview URL",PASS
