source_id,title,primary_url,publication_status,overlap,residual_question,status
gupta_2026,"A Persistent-State Dataflow Accelerator for Memory-Bound Linear Attention Decode on FPGA",https://arxiv.org/abs/2603.05931,"arXiv:2603.05931v1; CoRR/informal","Persistent on-chip GDN state; five-phase U55C pipeline; paired-head GVA","Arithmetic replacement and long-horizon state stability at a controlled boundary",PASS
gdn_quantized_inverse_2026,"When Good Enough Is Optimal: Multiplication-Only Matrix Inversion Approximation for Quantized Gated DeltaNet",https://arxiv.org/abs/2606.06034,"arXiv:2606.06034v1","Quantized GDN chunk computation","Token-serial quantized recurrent-state replacement",PASS
ssdi8_2026,SSDi8,https://openreview.net/forum?id=pjMDZJd4rT,"ICLR 2026 OpenReview record","Persistent INT8 state-space path; adaptive quantization; error correction","Pinned Qwen GDN with MXFP4 on FPGA",PASS
state_rank_2026,"State Rank Dynamics in Linear Attention LLMs",https://arxiv.org/abs/2602.02195,"arXiv:2602.02195v1","Runtime recurrent-state diagnostics and reduction","Arithmetic-replacement stability and FPGA cost",PASS
state_reduction_2026,"The Key to State Reduction in Linear Attention",https://openreview.net/forum?id=GfjoMXfaXq,"OpenReview record","Rank-based recurrent-state reduction","Unchanged state layout with MXFP4 arithmetic",PASS
mxattention_2026,"MXAttention: Data-Free Optimal Scaling and Pre-Normalization Quantization for MXFP4 Attention",https://arxiv.org/abs/2607.24377,"arXiv:2607.24377v1","MXFP4 softmax-attention scaling","Recurrent GDN state evolution",PASS
mxfp_ptq_2026,"Benchmarking Post-Training Quantization of Large Language Models under Microscaling Floating Point Formats",https://arxiv.org/abs/2601.09555,"arXiv:2601.09555","MXFP4 quality and scale sensitivity","Long-horizon recurrence and matched FPGA implementation",PASS
jack_scales_2026,"Jack of All Scales: A Versatile FPGA Tensor Block for MXFP Precisions",https://arxiv.org/abs/2607.13898,"arXiv:2607.13898","FPGA MXFP4/MXFP6/MXFP8 arithmetic","GDN state semantics and stability",PASS
mxformer_2026,"MXFormer: A Microscaling Floating-Point Charge-Trap Transistor Compute-in-Memory Transformer Accelerator",https://arxiv.org/abs/2602.12480,"arXiv:2602.12480","MXFP4 block-exponent-aligned compute","Matched FPGA recurrent-state kernel",PASS
qllama_2025,"QLlama: An FPGA-Based Microscaling Quantization Accelerator for Energy-Efficient Llama2 Inference",https://doi.org/10.1109/LES.2025.3600563,"H. Wen et al.; IEEE Embedded Systems Letters 17(5):337-340; IEEE; 2025; DOI 10.1109/LES.2025.3600563","FPGA microscaling quantization","Recurrence-specific state update and stability",PASS
